,node,tag,level,device,measurements,unit,asset
57,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.DC_InputPower,Inverter104_Measure.DC_InputPower,1,Inverter104,DC_InputPower,kW,hawt
58,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.DC_VoltagePV,Inverter104_Measure.DC_VoltagePV,1,Inverter104,DC_VoltagePV,V,hawt
59,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.Frequency,Inverter104_Measure.Frequency,1,Inverter104,Frequency,Hz,hawt
60,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.PowerFactor,Inverter104_Measure.PowerFactor,1,Inverter104,PowerFactor,%,hawt
61,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.ReactivePower_kVAr,Inverter104_Measure.ReactivePower_kVAr,1,Inverter104,ReactivePower,kVAr,hawt
62,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.Vab,Inverter104_Measure.Vab,1,Inverter104,Vab,kV,hawt
63,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.Vbc,Inverter104_Measure.Vbc,1,Inverter104,Vbc,kV,hawt
64,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.Vca,Inverter104_Measure.Vca,1,Inverter104,Vca,kV,hawt
65,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.Ia,Inverter104_MeasureIa,1,Inverter104,Ia,A,hawt
66,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.Ib,Inverter104_MeasureIa,1,Inverter104,Ib,A,hawt
67,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter104_Measure.Ic,Inverter104_MeasureIa,1,Inverter104,Ic,A,hawt
68,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.ActivePower_kW,Inverter105_Measure.ActivePower_kW,1,Inverter105,ActivePower,kW,hawt
69,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.DC_InputCurrent,Inverter105_Measure.DC_InputCurrent,1,Inverter105,DC_InputCurrent,A,hawt
70,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.DC_InputPower,Inverter105_Measure.DC_InputPower,1,Inverter105,DC_InputPower,kW,hawt
71,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.DC_VoltagePV,Inverter105_Measure.DC_VoltagePV,1,Inverter105,DC_VoltagePV,V,hawt
72,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.Frequency,Inverter105_Measure.Frequency,1,Inverter105,Frequency,Hz,hawt
73,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.PowerFactor,Inverter105_Measure.PowerFactor,1,Inverter105,PowerFactor,%,hawt
74,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.ReactivePower_kVAr,Inverter105_Measure.ReactivePower_kVAr,1,Inverter105,ReactivePower,kVAr,hawt
75,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.Vab,Inverter105_Measure.Vab,1,Inverter105,Vab,kV,hawt
76,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.Vbc,Inverter105_Measure.Vbc,1,Inverter105,Vbc,kV,hawt
77,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.Vca,Inverter105_Measure.Vca,1,Inverter105,Vca,kV,hawt
78,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.Ia,Inverter105_MeasureIa,1,Inverter105,Ia,A,hawt
79,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.Ib,Inverter105_MeasureIa,1,Inverter105,Ib,A,hawt
80,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter105_Measure.Ic,Inverter105_MeasureIa,1,Inverter105,Ic,A,hawt
81,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.ActivePower_kW,Inverter106_Measure.ActivePower_kW,1,Inverter106,ActivePower,kW,hawt
82,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.DC_InputCurrent,Inverter106_Measure.DC_InputCurrent,1,Inverter106,DC_InputCurrent,A,hawt
83,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.DC_InputPower,Inverter106_Measure.DC_InputPower,1,Inverter106,DC_InputPower,kW,hawt
84,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.DC_VoltagePV,Inverter106_Measure.DC_VoltagePV,1,Inverter106,DC_VoltagePV,V,hawt
85,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.Frequency,Inverter106_Measure.Frequency,1,Inverter106,Frequency,Hz,hawt
86,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.PowerFactor,Inverter106_Measure.PowerFactor,1,Inverter106,PowerFactor,%,hawt
87,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.ReactivePower_kVAr,Inverter106_Measure.ReactivePower_kVAr,1,Inverter106,ReactivePower,kVAr,hawt
88,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.Vab,Inverter106_Measure.Vab,1,Inverter106,Vab,kV,hawt
89,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.Vbc,Inverter106_Measure.Vbc,1,Inverter106,Vbc,kV,hawt
90,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.Vca,Inverter106_Measure.Vca,1,Inverter106,Vca,kV,hawt
91,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.Ia,Inverter106_MeasureIa,1,Inverter106,Ia,A,hawt
92,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.Ib,Inverter106_MeasureIa,1,Inverter106,Ib,A,hawt
93,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter106_Measure.Ic,Inverter106_MeasureIa,1,Inverter106,Ic,A,hawt
94,ns=2;s=GalaxyUAChannel.GalaxyUA.Amazon.Inverter107_Measure.ActivePower_kW,Inverter107_Measure.ActivePower_kW,1,Inverter107,ActivePower,kW,hawt
